age,income,account_age_months,transaction_count,account_balance,support_contacts,final_score,churn
25,35000,,45,5000,2,0.92,1
30,45000,24,67,8000,,0.87,0
35,55000,36,,12000,0,0.95,1
40,65000,48,110,15000,2,,0
28,42000,18,56,7500,1,0.84,0
45,75000,60,145,25000,1,0.91,1
32,50000,30,78,10000,3,0.88,0
38,60000,42,95,14000,1,0.89,0
29,40000,20,52,6500,2,0.83,0
42,70000,50,130,22000,0,0.94,1
26,36000,15,48,5500,1,0.81,0
36,52000,32,80,9500,2,0.86,0
44,72000,55,135,20000,1,0.93,1
31,48000,28,70,9000,1,0.82,0
27,38000,17,50,6000,2,0.80,0
37,58000,40,92,13500,0,0.85,1
43,68000,45,125,18000,2,0.90,1
33,51000,34,82,10500,1,0.84,0
24,32000,10,40,4000,3,0.79,0
39,62000,44,100,16000,1,0.88,0
25,35000,12,45,5000,2,0.92,1
30,45000,24,67,8000,1,0.87,0
35,55000,36,89,12000,0,0.95,1
40,65000,48,110,15000,2,0.91,0
28,42000,18,56,7500,1,0.84,0
45,75000,60,145,25000,1,0.93,1
32,50000,30,78,10000,3,0.88,0
38,60000,42,95,14000,1,0.89,0
29,40000,20,52,6500,2,0.83,0
42,70000,50,130,22000,0,0.94,1
26,36000,15,48,5500,1,0.81,0
36,52000,32,80,9500,2,0.86,0
44,72000,55,135,20000,1,0.92,1
31,48000,28,70,9000,1,0.82,0
27,38000,17,50,6000,2,0.80,0
37,58000,40,92,13500,0,0.85,1
43,68000,45,125,18000,2,0.90,1
33,51000,34,82,10500,1,0.84,0
24,32000,10,40,4000,3,0.79,0
39,62000,44,100,16000,1,0.88,0
